url,title,category,lastmod
https://www.shanethegamer.com/esports-news/legendary-game-designer-hideo-kojima-heading-to-riyadh-for-the-esports-world-cup-festival/,Legendary Game Designer Hideo Kojima Heading To Riyadh For The Esports World Cup Festival,esports-news,2025-08-09T14:30:18+00:00
https://www.shanethegamer.com/esports-news/cs2-returns-at-ewc-with-1-25m-prize-pool-falcons-vs-g2-to-kick-things-off/,Cs2 Returns At Ewc With 1 25M Prize Pool Falcons Vs G2 To Kick Things Off,esports-news,2025-08-09T11:53:46+00:00
https://www.shanethegamer.com/esports-news/pubg-is-back-at-the-esports-world-cup-2025-with-2-million-prize-pool/,Pubg Is Back At The Esports World Cup 2025 With 2 Million Prize Pool,esports-news,2025-08-09T11:27:24+00:00
https://www.shanethegamer.com/esports-news/mouz-bring-the-online-blast-bounty-qualifier-to-life-in-hamburg/,Mouz Bring The Online Blast Bounty Qualifier To Life In Hamburg,esports-news,2025-08-09T11:02:26+00:00
https://www.shanethegamer.com/esports-news/the-finals-the-grand-major-2025-everything-you-need-to-know/,The Finals The Grand Major 2025 Everything You Need To Know,esports-news,2025-08-09T08:33:01+00:00
https://www.shanethegamer.com/esports-news/teamfight-tactics-heads-back-to-riyadh-for-the-2025-esports-world-cup/,Teamfight Tactics Heads Back To Riyadh For The 2025 Esports World Cup,esports-news,2025-08-08T22:04:43+00:00
https://www.shanethegamer.com/esports-news/football-legends-kaka-and-ronaldo-to-face-off-at-esports-world-cup-2025/,Football Legends Kaka And Ronaldo To Face Off At Esports World Cup 2025,esports-news,2025-08-08T19:05:44+00:00
https://www.shanethegamer.com/esports-news/freeze-humanity-and-bring-salvation-freezia-launches-today-on-steam/,Freeze Humanity And Bring Salvation Freezia Launches Today On Steam,esports-news,2025-08-08T16:33:59+00:00
https://www.shanethegamer.com/esports-news/nongshim-redforce-punch-their-ticket-to-vct-pacific-stage-2-playoffs/,Nongshim Redforce Punch Their Ticket To Vct Pacific Stage 2 Playoffs,esports-news,2025-08-08T14:18:29+00:00
https://www.shanethegamer.com/esports-news/team-spirit-zweih-got-locked-out-of-steam-another-pro-hack-after-m0nesy/,Team Spirit Zweih Got Locked Out Of Steam Another Pro Hack After M0Nesy,esports-news,2025-08-08T14:16:08+00:00
https://www.shanethegamer.com/esports-news/marvel-rivals-esports-will-stay-open-for-all-teams-no-franchise-model-for-now/,Marvel Rivals Esports Will Stay Open For All Teams No Franchise Model For Now,esports-news,2025-08-08T14:16:02+00:00
https://www.shanethegamer.com/esports-news/hicksy-retires-from-competitive-call-of-duty-lived-it-loved-it/,Hicksy Retires From Competitive Call Of Duty Lived It Loved It,esports-news,2025-08-08T12:06:48+00:00
https://www.shanethegamer.com/esports-news/tft-pro-circuit-2025-to-debut-in-set-15-and-riots-big-changes-for-competitive-teamfight-tactics/,Tft Pro Circuit 2025 To Debut In Set 15 And Riots Big Changes For Competitive Teamfight Tactics,esports-news,2025-08-08T11:49:41+00:00
https://www.shanethegamer.com/esports-news/gentle-mates-relegated-from-vct-emea-tough-blow-for-france/,Gentle Mates Relegated From Vct Emea Tough Blow For France,esports-news,2025-08-07T22:22:32+00:00
https://www.shanethegamer.com/esports-news/former-cloud9-major-winner-rush-retires-from-pro-counter-strike-eyes-coaching-career/,Former Cloud9 Major Winner Rush Retires From Pro Counter Strike Eyes Coaching Career,esports-news,2025-08-07T22:21:21+00:00
https://www.shanethegamer.com/esports-news/ea-fc-worlds-number-one-anders-vejrgang-joins-team-falcons/,Ea Fc Worlds Number One Anders Vejrgang Joins Team Falcons,esports-news,2025-08-07T19:53:28+00:00
https://www.shanethegamer.com/esports-news/heroic-bench-gr1ks-after-just-over-a-month-bring-in-alkaren-on-loan-from-spirit-academy/,Heroic Bench Gr1Ks After Just Over A Month Bring In Alkaren On Loan From Spirit Academy,esports-news,2025-08-07T18:58:03+00:00
https://www.shanethegamer.com/esports-news/gen-g-get-their-revenge-in-a-reverse-sweep-over-t1-now-22-1-in-lck/,Gen G Get Their Revenge In A Reverse Sweep Over T1 Now 22 1 In Lck,esports-news,2025-08-07T18:57:41+00:00
https://www.shanethegamer.com/esports-news/fortnite-might-be-getting-proximity-chat-but-its-still-just-a-leak-for-now/,Fortnite Might Be Getting Proximity Chat But Its Still Just A Leak For Now,esports-news,2025-08-07T12:36:24+00:00
https://www.shanethegamer.com/esports-news/cs2-goes-full-naval-brazilian-tournament-circuito-ferjee-2025-to-be-held-on-an-aircraft-carrier-ship/,Cs2 Goes Full Naval Brazilian Tournament Circuito Ferjee 2025 To Be Held On An Aircraft Carrier Ship,esports-news,2025-08-07T12:04:28+00:00
https://www.shanethegamer.com/esports-news/activevoices-instantly-translates-streamers-and-esports-content-for-global-audiences/,Activevoices Instantly Translates Streamers And Esports Content For Global Audiences,esports-news,2025-08-07T11:25:02+00:00
https://www.shanethegamer.com/esports-news/fortnites-champions-road-2025-is-here-what-you-need-to-know/,Fortnites Champions Road 2025 Is Here What You Need To Know,esports-news,2025-08-07T11:06:43+00:00
https://www.shanethegamer.com/esports-news/pokemon-unite-joins-scholastic-esports-thanks-to-playvs-partnership/,Pokemon Unite Joins Scholastic Esports Thanks To Playvs Partnership,esports-news,2025-08-07T07:30:29+00:00
https://www.shanethegamer.com/esports-news/apeks-relegated-from-vct-emea-after-winless-season/,Apeks Relegated From Vct Emea After Winless Season,esports-news,2025-08-07T06:39:01+00:00
https://www.shanethegamer.com/esports-news/fissure-playground-2-teams-revealed-will-team-falcons-redeem/,Fissure Playground 2 Teams Revealed Will Team Falcons Redeem,esports-news,2025-08-07T03:20:21+00:00
https://www.shanethegamer.com/esports-news/cs2-yalla-compass-shuts-down-leaves-players-and-staff-unpaid/,Cs2 Yalla Compass Shuts Down Leaves Players And Staff Unpaid,esports-news,2025-08-07T02:27:51+00:00
https://www.shanethegamer.com/esports-news/breaking-sekiro-anime-almost-confirmed-with-domain-registration/,Breaking Sekiro Anime Almost Confirmed With Domain Registration,esports-news,2025-08-06T22:22:19+00:00
https://www.shanethegamer.com/esports-news/dying-light-the-beast-unveils-a-new-level-of-brutality-in-blood-guts-trailer/,Dying Light The Beast Unveils A New Level Of Brutality In Blood Guts Trailer,esports-news,2025-08-06T14:15:55+00:00
https://www.shanethegamer.com/esports-news/axis-football-2026-launches-september-8/,Axis Football 2026 Launches September 8,esports-news,2025-08-06T14:11:39+00:00
https://www.shanethegamer.com/esports-news/valorants-new-shotcall-twitch-extension-turns-watching-vct-into-a-literal-game/,Valorants New Shotcall Twitch Extension Turns Watching Vct Into A Literal Game,esports-news,2025-08-06T13:40:45+00:00
https://www.shanethegamer.com/esports-news/team-liquid-takes-over-the-mongolzs-spot-at-blast-open-london/,Team Liquid Takes Over The Mongolzs Spot At Blast Open London,esports-news,2025-08-06T13:23:46+00:00
https://www.shanethegamer.com/esports-news/jl-makes-surprise-cs2-return-but-falls-to-g2s-academy-team/,Jl Makes Surprise Cs2 Return But Falls To G2S Academy Team,esports-news,2025-08-06T12:32:54+00:00
https://www.shanethegamer.com/esports-news/lakia-returns-to-gen-g-valorant-team-ready-for-champions-2026/,Lakia Returns To Gen G Valorant Team Ready For Champions 2026,esports-news,2025-08-06T11:36:47+00:00
https://www.shanethegamer.com/esports-news/ea-fc-pro-world-championship-2025-at-esports-world-cup-with-1000000-prize-pool/,Ea Fc Pro World Championship 2025 At Esports World Cup With 1000000 Prize Pool,esports-news,2025-08-06T11:16:48+00:00
https://www.shanethegamer.com/esports-news/s1mon-leaves-edg-valorant-team-after-controversy-and-bench-drama/,S1Mon Leaves Edg Valorant Team After Controversy And Bench Drama,esports-news,2025-08-06T11:06:11+00:00
https://www.shanethegamer.com/esports-news/valorant-mobile-gets-200-million-investment-ahead-of-massive-china-launch-reveal/,Valorant Mobile Gets 200 Million Investment Ahead Of Massive China Launch Reveal,esports-news,2025-08-05T06:35:33+00:00
https://www.shanethegamer.com/esports-news/falcon-2000000-kyousuke-shines-in-cs2-debut-despite-teams-early-exit-at-iem-cologne-2025/,Falcon 2000000 Kyousuke Shines In Cs2 Debut Despite Teams Early Exit At Iem Cologne 2025,esports-news,2025-08-05T00:16:56+00:00
https://www.shanethegamer.com/esports-news/faker-nemesis-and-the-pros-are-over-the-current-lol-meta-heres-what-they-want-changed/,Faker Nemesis And The Pros Are Over The Current Lol Meta Heres What They Want Changed,esports-news,2025-08-04T22:45:42+00:00
https://www.shanethegamer.com/esports-news/all-qualified-trios-for-the-fortnite-2000000-fncs-2025-global-championship/,All Qualified Trios For The Fortnite 2000000 Fncs 2025 Global Championship,esports-news,2025-08-04T22:07:19+00:00
https://www.shanethegamer.com/esports-news/warzone-drops-back-into-ewc-2025-with-1000000-up-for-grabs/,Warzone Drops Back Into Ewc 2025 With 1000000 Up For Grabs,esports-news,2025-08-04T20:36:40+00:00
